transaction_id,customer_id,transaction_date,transaction_time,transaction_type,amount,currency,merchant_category,merchant_name,account_type,branch_code,status,balance_after,channel,is_fraud
TXN000030,CUS00042,2024-09-17,12:43:53,Bill Payment,48346.11,THB,Food & Beverage,MK Restaurant,Savings,BKK002,Completed,90105.34,ATM,1
TXN000031,CUS00047,2024-06-09,13:38:32,Purchase,5464.71,THB,Retail,HomePro,Current,CNX001,Completed,354683.86,Mobile Banking,0
TXN000032,CUS00048,2024-12-09,06:23:27,Purchase,46282.48,THB,Insurance,Krungthai-AXA,Fixed Deposit,BKK002,Completed,254054.13,Branch,0
TXN000033,CUS00009,2024-04-08,13:42:24,Top-up,20149.9,THB,Entertainment,Major Cineplex,Fixed Deposit,HYI001,Completed,152633.6,Internet Banking,0
TXN000034,CUS00021,2024-08-26,14:28:43,Transfer,39298.65,THB,Utilities,DTAC,Credit,BKK003,Completed,142609.42,POS,0
TXN000035,CUS00016,2024-12-10,09:14:51,Transfer,4714.69,THB,Entertainment,Major Cineplex,Savings,BKK001,Completed,491984.08,POS,0
TXN000036,CUS00037,2024-04-09,22:44:24,Online Payment,22798.04,THB,Food & Beverage,Oishi,Current,BKK003,Completed,446437.25,Mobile Banking,0
TXN000037,CUS00045,2024-09-22,14:03:35,Transfer,10981.11,THB,Utilities,PEA Thailand,Credit,BKK003,Reversed,334121.29,POS,0
TXN000038,CUS00029,2024-11-09,23:57:32,Online Payment,15899.03,THB,E-commerce,Pantip Market,Credit,BKK003,Reversed,225584.81,Internet Banking,0
TXN000039,CUS00041,2024-05-02,08:28:04,Top-up,38302.39,THB,Travel,Grab Thailand,Current,CNX001,Pending,160535.07,POS,0
TXN000040,CUS00045,2024-03-19,22:13:04,Online Payment,6961.78,THB,Food & Beverage,Oishi,Fixed Deposit,PTN001,Reversed,208471.34,Internet Banking,0
TXN000041,CUS00045,2024-01-11,18:24:30,Purchase,19504.37,THB,Utilities,True Move H,Fixed Deposit,HYI001,Failed,269572.06,POS,0
TXN000042,CUS00032,2024-01-15,12:21:42,Top-up,44895.68,THB,E-commerce,Kaidee,Current,NBI001,Completed,490380.27,POS,0
TXN000043,CUS00006,2024-11-25,13:08:55,Online Payment,45351.1,THB,Retail,The Mall,Savings,CNX001,Failed,164348.98,Branch,0
TXN000044,CUS00018,2024-08-03,08:53:05,Online Payment,16908.15,THB,Entertainment,SF Cinema,Savings,KKN001,Completed,325421.9,Mobile Banking,0
TXN000045,CUS00002,2024-11-14,04:15:08,Online Payment,47483.11,THB,Retail,Central Department,Current,NBI001,Completed,383682.15,Internet Banking,1
TXN000046,CUS00008,2024-03-24,09:06:37,Purchase,30382.01,THB,E-commerce,JD Central,Credit,HYI001,Completed,38922.24,Internet Banking,0
TXN000047,CUS00044,2024-11-03,03:50:36,Refund,34874.79,THB,Food & Beverage,McDonald's TH,Fixed Deposit,PTN001,Failed,331099.15,Mobile Banking,0
TXN000048,CUS00027,2024-09-07,03:27:23,Top-up,32394.79,THB,Insurance,Bangkok Life,Current,HYI001,Completed,367163.86,ATM,1
TXN000049,CUS00028,2024-10-30,08:20:54,Transfer,40419.55,THB,E-commerce,Lazada TH,Fixed Deposit,NBI001,Completed,375487.66,POS,0
TXN000050,CUS00032,2024-06-15,05:31:13,ATM Withdrawal,33426.01,THB,E-commerce,JD Central,Fixed Deposit,CNX001,Completed,278339.72,POS,0
TXN000051,CUS00032,2024-10-11,07:44:30,Top-up,4326.37,THB,Healthcare,Pahon Polpayat Hospital,Credit,BKK001,Completed,147823.56,Branch,0
TXN000052,CUS00031,2024-10-10,16:22:27,Top-up,15344.99,THB,Healthcare,Paolo Hospital,Fixed Deposit,KKN001,Reversed,136187.3,ATM,0
TXN000053,CUS00008,2024-10-01,22:11:12,Transfer,6076.76,THB,Healthcare,Pahon Polpayat Hospital,Fixed Deposit,SKT001,Completed,490274.8,Internet Banking,0
TXN000054,CUS00001,2024-12-28,17:08:17,Purchase,11412.78,THB,Travel,Thai Airways,Fixed Deposit,BKK003,Reversed,52191.24,Mobile Banking,0
TXN000055,CUS00022,2024-04-04,01:16:55,Online Payment,14252.75,THB,E-commerce,Lazada TH,Savings,HYI001,Reversed,37967.0,Mobile Banking,0
TXN000056,CUS00020,2024-02-13,07:07:35,Refund,7502.42,THB,Fuel,Esso Thailand,Current,PTN001,Failed,225806.72,Branch,0
TXN000057,CUS00040,2024-01-31,19:47:06,Refund,43015.32,THB,Travel,AirAsia TH,Current,CNX001,Completed,79371.49,Internet Banking,0
TXN000058,CUS00029,2024-12-18,19:30:18,Purchase,3799.49,THB,Insurance,Muang Thai Life,Fixed Deposit,CNX001,Reversed,36518.7,Internet Banking,1
TXN000059,CUS00043,2024-04-11,13:07:34,Transfer,39402.01,THB,Travel,AirAsia TH,Fixed Deposit,BKK003,Completed,30759.38,ATM,0
TXN000060,CUS00019,2024-08-12,03:29:44,ATM Withdrawal,37460.44,THB,E-commerce,Kaidee,Fixed Deposit,PTN001,Reversed,219441.67,POS,0
TXN000061,CUS00002,2024-02-16,07:43:53,Refund,44476.67,THB,Retail,IKEA Thailand,Savings,CNX001,Completed,381791.39,Internet Banking,0
TXN000062,CUS00018,2024-04-02,18:27:40,Refund,25972.24,THB,Education,Chula Extension,Savings,NBI001,Pending,204765.7,ATM,0
TXN000063,CUS00045,2024-09-10,09:42:25,Refund,42893.77,THB,Food & Beverage,KFC Thailand,Savings,NBI001,Completed,157944.06,ATM,1
TXN000064,CUS00001,2024-12-02,17:29:26,Purchase,48510.73,THB,Food & Beverage,Starbucks TH,Fixed Deposit,SKT001,Reversed,313078.96,Mobile Banking,0
TXN000065,CUS00019,2024-08-12,22:31:07,Purchase,13389.46,THB,Healthcare,Paolo Hospital,Current,BKK003,Completed,275868.66,POS,0
TXN000066,CUS00008,2024-08-24,03:41:53,Transfer,4705.8,THB,Utilities,AIS,Fixed Deposit,PTN001,Completed,208329.68,Branch,0
TXN000067,CUS00025,2024-04-07,19:32:47,Transfer,12224.36,THB,Education,Coursera,Fixed Deposit,HYI001,Pending,467189.95,POS,0
TXN000068,CUS00020,2024-10-27,18:42:31,Refund,41036.45,THB,Travel,AirAsia TH,Credit,PTN001,Reversed,173216.85,POS,1
TXN000069,CUS00013,2024-12-23,07:36:24,Transfer,18891.64,THB,Insurance,Bangkok Life,Savings,KKN001,Reversed,352908.71,Branch,0
TXN000070,CUS00010,2024-09-10,01:08:32,Bill Payment,49421.28,THB,Utilities,True Move H,Savings,NBI001,Completed,263449.59,Branch,0
TXN000071,CUS00042,2024-03-20,02:30:50,ATM Withdrawal,36136.07,THB,Retail,Robinson,Credit,BKK002,Pending,426318.33,POS,0
TXN000072,CUS00032,2024-10-04,01:39:04,Transfer,47709.27,THB,Utilities,True Move H,Current,BKK002,Failed,489190.53,Mobile Banking,0
TXN000073,CUS00002,2024-01-24,10:50:03,ATM Withdrawal,8359.92,THB,Education,NSTDA,Fixed Deposit,HYI001,Completed,122854.52,Branch,0
TXN000074,CUS00012,2024-02-10,19:55:24,Bill Payment,34105.93,THB,E-commerce,Shopee TH,Credit,SKT001,Completed,116862.03,ATM,0
TXN000075,CUS00030,2024-05-27,21:34:10,Purchase,12803.57,THB,Education,Chula Extension,Fixed Deposit,SKT001,Completed,319830.41,Branch,1
TXN000076,CUS00025,2024-09-04,03:15:24,Bill Payment,22868.95,THB,Travel,Grab Thailand,Fixed Deposit,CNX001,Completed,488994.3,Branch,0
TXN000077,CUS00050,2024-01-26,19:47:31,Refund,454.49,THB,Travel,Grab Thailand,Current,SKT001,Pending,110283.26,Internet Banking,0
TXN000078,CUS00050,2024-12-03,21:53:08,Top-up,12568.81,THB,E-commerce,Lazada TH,Savings,CNX001,Reversed,17648.9,ATM,0
TXN000079,CUS00048,2024-07-31,05:12:08,Refund,4552.16,THB,Fuel,Bangchak,Fixed Deposit,PTN001,Completed,415405.84,ATM,0
TXN000080,CUS00022,2024-02-28,14:04:09,Refund,48370.83,THB,Education,Udemy,Credit,PTN001,Pending,46061.13,Branch,1
TXN000081,CUS00024,2024-12-10,23:43:16,Bill Payment,13259.71,THB,Retail,HomePro,Fixed Deposit,BKK002,Completed,236266.96,POS,0
TXN000082,CUS00042,2024-02-02,20:52:29,Top-up,16433.91,THB,Insurance,Krungthai-AXA,Credit,BKK002,Completed,23628.06,Mobile Banking,0
TXN000083,CUS00016,2024-10-02,04:24:29,ATM Withdrawal,49796.57,THB,Travel,12Go Asia,Credit,SKT001,Completed,442821.48,Mobile Banking,1
TXN000084,CUS00018,2024-01-17,22:23:13,Online Payment,30801.83,THB,Education,Chula Extension,Current,KKN001,Completed,490482.93,ATM,0
TXN000085,CUS00018,2024-04-07,03:54:52,Online Payment,45089.73,THB,Insurance,AIA Thailand,Current,SKT001,Completed,26238.68,ATM,0
TXN000086,CUS00049,2024-10-10,06:37:13,Refund,49441.6,THB,Healthcare,Bumrungrad,Fixed Deposit,BKK003,Completed,139360.15,Internet Banking,0
TXN000087,CUS00008,2024-12-04,00:08:00,ATM Withdrawal,27033.76,THB,Fuel,Shell Thailand,Fixed Deposit,BKK001,Completed,133418.39,Internet Banking,0
TXN000088,CUS00031,2024-08-17,11:32:37,Purchase,26327.97,THB,Utilities,AIS,Current,SKT001,Completed,363894.26,POS,0
TXN000089,CUS00004,2024-09-02,12:27:43,Purchase,22929.22,THB,Travel,Bolt Thailand,Credit,BKK002,Completed,161733.8,Internet Banking,0
TXN000090,CUS00038,2024-10-07,22:20:24,Bill Payment,6353.27,THB,Food & Beverage,KFC Thailand,Fixed Deposit,NBI001,Failed,50490.05,Mobile Banking,0
TXN000091,CUS00029,2024-04-26,13:21:52,Online Payment,36055.95,THB,Insurance,Bangkok Life,Credit,BKK002,Pending,213955.24,ATM,0
TXN000092,CUS00006,2024-02-13,02:27:06,Top-up,47681.95,THB,Entertainment,True Visions,Current,PTN001,Completed,293646.08,POS,0
TXN000093,CUS00023,2024-12-06,13:55:58,Top-up,16515.82,THB,Insurance,AIA Thailand,Fixed Deposit,SKT001,Completed,176471.45,POS,0
TXN000094,CUS00015,2024-02-25,11:54:35,ATM Withdrawal,10676.3,THB,Insurance,AIA Thailand,Fixed Deposit,SKT001,Completed,403803.46,POS,0
TXN000095,CUS00002,2024-11-07,21:53:44,ATM Withdrawal,30697.99,THB,E-commerce,Lazada TH,Current,CNX001,Completed,460847.22,ATM,0
TXN000096,CUS00043,2024-07-24,02:09:47,Top-up,9111.21,THB,Retail,Central Department,Savings,PTN001,Completed,188721.01,Branch,0
TXN000097,CUS00021,2024-10-17,19:05:56,Purchase,7912.59,THB,Entertainment,Major Cineplex,Current,SKT001,Completed,337310.39,ATM,0
TXN000098,CUS00029,2024-07-31,08:13:48,Bill Payment,33113.84,THB,Education,Coursera,Fixed Deposit,HYI001,Completed,142339.99,POS,0
TXN000099,CUS00015,2024-07-21,19:03:00,Transfer,26370.36,THB,Education,NSTDA,Current,BKK003,Completed,145434.12,Mobile Banking,0
TXN000100,CUS00009,2024-07-13,17:45:14,Bill Payment,24894.4,THB,Retail,IKEA Thailand,Fixed Deposit,BKK002,Failed,431020.42,Mobile Banking,0
TXN000101,CUS00021,2024-10-21,13:36:25,Top-up,986.14,THB,Utilities,AIS,Fixed Deposit,BKK002,Failed,11407.42,ATM,0
TXN000102,CUS00024,2024-02-15,13:54:06,Transfer,40076.04,THB,Fuel,Esso Thailand,Credit,PTN001,Completed,198487.58,ATM,0
TXN000103,CUS00005,2024-09-18,20:07:33,Bill Payment,11117.52,THB,Entertainment,Major Cineplex,Fixed Deposit,KKN001,Completed,118898.16,Internet Banking,0
TXN000104,CUS00049,2024-12-01,02:11:49,Top-up,9903.73,THB,Travel,Bolt Thailand,Credit,SKT001,Reversed,340885.61,POS,0
TXN000105,CUS00021,2024-03-18,14:04:30,Online Payment,16194.25,THB,E-commerce,JD Central,Fixed Deposit,SKT001,Completed,176619.17,Mobile Banking,0
TXN000106,CUS00024,2024-05-26,02:41:55,Refund,23114.04,THB,Travel,Thai Airways,Credit,NBI001,Completed,225417.12,POS,0
TXN000107,CUS00010,2024-02-01,14:06:51,Refund,16110.26,THB,Healthcare,Samitivej,Savings,PTN001,Completed,20531.92,Branch,0
TXN000108,CUS00024,2024-07-09,09:24:26,Refund,26227.22,THB,Education,NSTDA,Savings,KKN001,Completed,165515.69,POS,0
TXN000109,CUS00043,2024-11-04,04:21:05,Bill Payment,14243.14,THB,Utilities,MEA Bangkok,Fixed Deposit,CNX001,Failed,65346.88,Mobile Banking,0
TXN000110,CUS00022,2024-03-06,21:44:53,Top-up,27968.16,THB,Travel,12Go Asia,Savings,HYI001,Pending,10097.04,ATM,0
TXN000111,CUS00050,2024-09-05,06:14:08,Transfer,47560.91,THB,Fuel,PTT Station,Fixed Deposit,BKK002,Completed,331302.69,POS,1
TXN000112,CUS00012,2024-12-20,19:51:57,Transfer,29882.46,THB,Fuel,Esso Thailand,Savings,HYI001,Pending,338505.1,Internet Banking,0
TXN000113,CUS00029,2024-04-29,17:15:19,Refund,30549.24,THB,Education,Chula Extension,Current,KKN001,Reversed,231378.31,ATM,0
TXN000114,CUS00011,2024-04-12,19:08:55,ATM Withdrawal,25170.19,THB,Utilities,PEA Thailand,Credit,KKN001,Completed,355989.09,POS,0
TXN000115,CUS00018,2024-08-18,16:09:53,Online Payment,14288.9,THB,Food & Beverage,McDonald's TH,Current,NBI001,Pending,465305.49,Branch,0
TXN000116,CUS00025,2024-02-11,11:14:01,ATM Withdrawal,19852.88,THB,Retail,Central Department,Fixed Deposit,BKK003,Completed,20113.29,Branch,0
TXN000117,CUS00040,2024-01-03,02:01:16,Transfer,37954.12,THB,Fuel,Shell Thailand,Credit,BKK002,Completed,119582.47,Mobile Banking,0
TXN000118,CUS00040,2024-08-22,02:07:53,Online Payment,11960.05,THB,Retail,IKEA Thailand,Savings,PTN001,Completed,359553.62,ATM,0
TXN000119,CUS00037,2024-08-01,05:42:42,Purchase,128.14,THB,Utilities,DTAC,Fixed Deposit,BKK002,Completed,195836.41,Branch,0
TXN000120,CUS00017,2024-01-09,11:50:04,ATM Withdrawal,31801.76,THB,Retail,The Mall,Savings,SKT001,Pending,67571.39,ATM,0
TXN000121,CUS00050,2024-12-16,14:44:30,Top-up,16960.44,THB,Insurance,Muang Thai Life,Current,BKK002,Reversed,19454.91,Internet Banking,0
TXN000122,CUS00021,2024-06-07,16:25:52,Bill Payment,39565.91,THB,Retail,HomePro,Fixed Deposit,BKK001,Completed,143769.34,Mobile Banking,0
TXN000123,CUS00028,2024-07-23,23:28:57,Online Payment,13697.17,THB,Entertainment,True Visions,Current,NBI001,Reversed,184306.12,POS,0
TXN000124,CUS00039,2024-04-02,17:18:20,Purchase,40067.35,THB,Travel,Thai Airways,Fixed Deposit,CNX001,Completed,223511.97,Branch,0
TXN000125,CUS00003,2024-06-29,19:27:17,Top-up,34503.75,THB,Fuel,PTT Station,Savings,HYI001,Pending,257029.92,Internet Banking,0
TXN000126,CUS00029,2024-01-18,04:04:15,Refund,7181.83,THB,Retail,Robinson,Fixed Deposit,HYI001,Completed,302942.32,Branch,0
TXN000127,CUS00037,2024-03-11,16:23:25,ATM Withdrawal,18632.07,THB,Entertainment,True Visions,Current,BKK002,Completed,368101.75,Branch,0
TXN000128,CUS00017,2024-05-13,22:28:13,Bill Payment,19380.02,THB,Insurance,Krungthai-AXA,Credit,CMI001,Completed,68728.48,Mobile Banking,0
TXN000129,CUS00006,2024-12-15,10:42:22,Top-up,8674.19,THB,Education,Coursera,Fixed Deposit,CNX001,Completed,356192.74,Internet Banking,0
TXN000130,CUS00013,2024-03-12,07:50:31,Purchase,25462.35,THB,Entertainment,True Visions,Fixed Deposit,NBI001,Completed,306362.23,Mobile Banking,0
TXN000131,CUS00047,2024-09-02,16:26:49,Online Payment,15499.07,THB,Food & Beverage,KFC Thailand,Savings,BKK003,Pending,321526.96,Branch,0
TXN000132,CUS00050,2024-10-09,20:37:11,Refund,34021.44,THB,Education,Udemy,Credit,PTN001,Completed,415864.01,POS,0
TXN000133,CUS00046,2024-04-25,11:33:57,ATM Withdrawal,15241.02,THB,Fuel,PTT Station,Fixed Deposit,CMI001,Completed,63459.98,ATM,0
TXN000134,CUS00011,2024-10-30,18:09:10,Top-up,26697.23,THB,E-commerce,Pantip Market,Fixed Deposit,SKT001,Completed,412792.9,Mobile Banking,0
TXN000135,CUS00037,2024-05-15,20:13:49,Bill Payment,2320.82,THB,Food & Beverage,Oishi,Savings,NBI001,Completed,321311.74,ATM,0
TXN000136,CUS00026,2024-06-01,14:04:44,Purchase,12281.65,THB,Education,Udemy,Credit,HYI001,Reversed,232756.64,ATM,0
TXN000137,CUS00021,2024-06-25,12:08:48,ATM Withdrawal,7226.25,THB,E-commerce,Pantip Market,Savings,KKN001,Completed,233769.81,ATM,0
TXN000138,CUS00019,2024-07-15,19:26:15,Refund,12433.55,THB,Education,Udemy,Fixed Deposit,SKT001,Pending,95727.22,Internet Banking,0
TXN000139,CUS00032,2024-01-12,02:25:32,Online Payment,49798.67,THB,Education,Udemy,Current,SKT001,Pending,25280.41,ATM,0
TXN000140,CUS00044,2024-08-28,09:34:00,Refund,29896.06,THB,Education,Coursera,Credit,BKK003,Completed,364026.52,Branch,0
TXN000141,CUS00036,2024-04-09,11:35:18,Purchase,2309.86,THB,Entertainment,AIS Play,Credit,PTN001,Completed,412830.35,POS,0
TXN000142,CUS00026,2024-07-10,10:35:23,Refund,5984.61,THB,E-commerce,Shopee TH,Current,SKT001,Failed,250538.87,Mobile Banking,0
TXN000143,CUS00031,2024-09-22,14:09:38,Bill Payment,6894.97,THB,Retail,The Mall,Fixed Deposit,SKT001,Pending,82088.52,POS,0
TXN000144,CUS00033,2024-09-29,15:45:36,ATM Withdrawal,29706.55,THB,Travel,Bolt Thailand,Savings,KKN001,Pending,337229.39,Branch,0
TXN000145,CUS00045,2024-11-18,00:38:30,ATM Withdrawal,15418.51,THB,E-commerce,Pantip Market,Current,BKK001,Reversed,86085.52,POS,0
TXN000146,CUS00003,2024-10-20,22:07:12,Purchase,7431.4,THB,Utilities,AIS,Fixed Deposit,HYI001,Completed,207067.09,Internet Banking,0
TXN000147,CUS00031,2024-02-01,22:08:33,Transfer,25115.88,THB,Utilities,DTAC,Fixed Deposit,NBI001,Failed,157562.55,Internet Banking,0
TXN000148,CUS00023,2024-12-12,23:43:41,Refund,45610.6,THB,Education,NSTDA,Credit,CMI001,Completed,140224.19,ATM,1
TXN000149,CUS00046,2024-04-16,22:45:31,ATM Withdrawal,47077.2,THB,Healthcare,Pahon Polpayat Hospital,Fixed Deposit,PTN001,Completed,144606.9,POS,0
TXN000150,CUS00023,2024-03-15,09:02:18,Top-up,19015.72,THB,Insurance,AIA Thailand,Fixed Deposit,NBI001,Completed,373921.91,Internet Banking,0
TXN000151,CUS00036,2024-12-22,08:08:06,Bill Payment,41406.19,THB,Healthcare,Paolo Hospital,Current,CMI001,Completed,335247.15,POS,1
TXN000152,CUS00027,2024-06-18,22:30:06,Top-up,31915.33,THB,Healthcare,Bumrungrad,Savings,PTN001,Completed,204046.82,Branch,0
TXN000153,CUS00019,2024-06-13,09:41:03,Refund,32544.41,THB,Education,Coursera,Current,PTN001,Completed,456701.63,Internet Banking,0
TXN000154,CUS00003,2024-07-22,15:11:59,Top-up,44118.14,THB,Utilities,True Move H,Savings,BKK001,Completed,284412.97,Mobile Banking,1
TXN000155,CUS00035,2024-09-25,15:56:08,Refund,14263.85,THB,Entertainment,Netflix TH,Credit,CNX001,Completed,404598.13,ATM,0
TXN000156,CUS00046,2024-04-05,00:47:21,Refund,36569.41,THB,Fuel,Caltex TH,Current,BKK003,Failed,413667.92,POS,0
TXN000157,CUS00012,2024-03-12,15:20:59,Transfer,4382.55,THB,Entertainment,SF Cinema,Fixed Deposit,HYI001,Completed,223921.03,ATM,0
TXN000158,CUS00001,2024-05-13,20:23:44,Transfer,15132.19,THB,Entertainment,SF Cinema,Savings,NBI001,Completed,80698.7,POS,0
TXN000159,CUS00019,2024-07-07,19:14:14,Transfer,34530.0,THB,Travel,Bolt Thailand,Current,NBI001,Pending,208506.96,POS,0
TXN000160,CUS00014,2024-05-06,21:48:38,Refund,37879.66,THB,Education,Coursera,Credit,PTN001,Pending,39973.26,POS,0
TXN000161,CUS00033,2024-04-13,18:34:09,Transfer,3134.81,THB,Food & Beverage,MK Restaurant,Credit,BKK002,Completed,358742.07,Branch,0
TXN000162,CUS00009,2024-09-19,13:29:36,Purchase,44949.52,THB,Food & Beverage,KFC Thailand,Credit,CNX001,Completed,198578.41,Mobile Banking,0
TXN000163,CUS00023,2024-12-24,02:34:03,Purchase,28936.65,THB,Healthcare,Pahon Polpayat Hospital,Savings,CNX001,Failed,90810.68,Internet Banking,0
TXN000164,CUS00029,2024-07-12,12:05:43,Top-up,18754.32,THB,Utilities,DTAC,Current,KKN001,Completed,90058.34,POS,0
TXN000165,CUS00015,2024-01-02,00:19:29,Top-up,26465.68,THB,Utilities,DTAC,Credit,PTN001,Failed,411856.86,Internet Banking,0
TXN000166,CUS00047,2024-02-27,01:51:42,Online Payment,17340.68,THB,Education,ABAC,Savings,CMI001,Completed,34578.16,POS,0
TXN000167,CUS00004,2024-05-05,23:02:25,Online Payment,22349.73,THB,Retail,The Mall,Current,BKK001,Completed,252444.03,ATM,0
TXN000168,CUS00039,2024-12-10,10:15:19,Transfer,40798.52,THB,Healthcare,Paolo Hospital,Current,HYI001,Completed,138301.81,POS,0
TXN000169,CUS00028,2024-10-11,15:03:22,Top-up,43991.71,THB,E-commerce,Kaidee,Fixed Deposit,HYI001,Failed,75459.59,Branch,0
TXN000170,CUS00015,2024-06-02,22:09:51,Online Payment,37733.08,THB,Fuel,PTT Station,Credit,HYI001,Completed,194821.11,ATM,0
TXN000171,CUS00029,2024-07-08,02:34:46,Refund,16546.64,THB,Healthcare,Bumrungrad,Savings,CNX001,Failed,337162.29,POS,0
TXN000172,CUS00049,2024-10-27,23:42:35,Transfer,43687.34,THB,Retail,HomePro,Current,KKN001,Completed,478552.86,Mobile Banking,1
TXN000173,CUS00049,2024-09-02,07:44:38,Top-up,46861.13,THB,Healthcare,Bumrungrad,Credit,CMI001,Pending,387981.43,Branch,0
TXN000174,CUS00017,2024-07-03,16:56:31,Online Payment,26705.82,THB,Education,Coursera,Credit,KKN001,Completed,185981.76,Branch,0
TXN000175,CUS00010,2024-01-09,08:35:59,Bill Payment,28148.11,THB,Retail,IKEA Thailand,Credit,CNX001,Completed,98899.7,Internet Banking,0
TXN000176,CUS00036,2024-12-01,21:21:16,Refund,28510.99,THB,Utilities,AIS,Credit,NBI001,Completed,366653.35,ATM,0
TXN000177,CUS00012,2024-10-04,20:03:33,Purchase,7040.93,THB,Fuel,PTT Station,Savings,BKK001,Failed,69608.27,Internet Banking,0
TXN000178,CUS00033,2024-08-21,11:03:39,Top-up,35373.12,THB,Food & Beverage,KFC Thailand,Credit,NBI001,Completed,4299.57,POS,1
TXN000179,CUS00018,2024-10-01,09:01:32,Refund,641.96,THB,Utilities,AIS,Current,BKK002,Completed,262668.32,Internet Banking,0
